id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),79,146933,true,1,track,2021-10-14,Faking Love (feat. Saweetie),1,7FNnA9vBm6EKceENgCGRMb,Anitta
2Wq0XjzmhdOcuXiZ16Xzsi,Som do Coração,0,198880,false,5,track,2021-10-29,Somos Pop,26,7FNnA9vBm6EKceENgCGRMb,Anitta
7bNpB5XdnJJ8EAVsoc3RJP,Namorado,1,225173,false,27,track,2021-10-29,Autumn Vibes,29,5ZfBThYiIIhL7jHMG8gDB2,Ferrugem
3e6WLyzrHXDEfL427wb4jU,Casa azul,0,224053,false,12,track,2021-10-29,Chama no Pagode,25,5ZfBThYiIIhL7jHMG8gDB2,Ferrugem
1tqEsBIbCaMCGaladW8trz,Paciência,0,228324,false,3,track,2021-10-29,Aquecimento Pagode,25,5ZfBThYiIIhL7jHMG8gDB2,Ferrugem
2plRom0urixt6BE8t7kOhQ,Girl From Rio,71,193343,false,1,track,2021-04-29,Girl From Rio,1,7FNnA9vBm6EKceENgCGRMb,Anitta
6CF085Ol0cVda1WqelybEQ,Girl From Rio (feat. DaBaby),58,195428,false,1,track,2021-05-21,Girl From Rio (feat. DaBaby),2,7FNnA9vBm6EKceENgCGRMb,Anitta
5sqO2LEieoTbnEqGyAZWKU,Playlist,0,173829,true,2,track,2021-10-29,Natal Pagode,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
6GjCj2vTKsaXKtIp4rrFcH,Um Cara Apaixonado,0,201386,false,17,track,2021-11-04,Projeto Verão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
4m1Qm08rS6WuvyLzTlpHV7,Tomara,0,176298,false,8,track,2021-10-29,Feriadão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
3B6LIZFoedSN7WolaFvU1Y,Playlist,1,173829,true,1,track,2021-10-29,Feriadão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
5dBgullM8LTEhAvsNCZKau,Playlist,0,173829,true,1,track,2021-11-05,Pagode no Natal,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
2ErQjgrDrZMZ2sbRgoX77M,Tomara,0,176298,false,5,track,2021-10-29,Natal Pagode,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
40p5AforThLiC4whB08VQD,Tomara,0,176298,false,6,track,2021-11-04,Projeto Verão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
3lhGmqYlVbWQ2lx2ZKM36X,Um Cara Apaixonado,0,201386,false,16,track,2021-11-05,Pagode no Natal,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
7toRXhx8gAkJknCfbKtsEq,Guerra De Almofada - Live,0,200622,false,17,track,2021-10-29,Natal Pagode,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
0cWe5aB3Cieji51sPwQkrm,Playlist,0,173829,true,4,track,2021-11-04,Projeto Verão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
4EcsnXkxcTQ8YWe1QQwc8S,Eu Mereço Ser Feliz - Ao Vivo,0,194090,false,4,track,2021-10-29,Feriadão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
1pT2prqLOIzpdzYbhBa3W0,Guerra De Almofada - Live,0,200622,false,14,track,2021-11-05,Pagode no Natal,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
4MWSHrZF27lXTkLmMvApDG,Guerra De Almofada - Live,0,200622,false,13,track,2021-11-04,Projeto Verão Pagode,20,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
1fHpYU89QsvmRRz0gkYdHd,Tomara,0,176298,false,7,track,2021-11-03,Pagode Pra Pensar no Crush,18,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
6wTLua57iEbZ6qmwZF8PW5,Tomara,0,176298,false,4,track,2021-11-05,Pagode no Natal,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
2AuLYx0EM301W2YeTQOYv6,Eu Mereço Ser Feliz - Ao Vivo,0,194090,false,5,track,2021-11-03,Pagode Pra Pensar no Crush,18,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
3IQ4k14nfT57lIpVtiF6Dj,Um Cara Apaixonado,0,201386,false,19,track,2021-10-29,Natal Pagode,21,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
2Q1vLJdbeVVRB1L0qYW4Gd,Playlist,0,173829,true,2,track,2021-11-03,Pagode Pra Pensar no Crush,18,34dfPo3Zi55yM6oV46q4y7,Mumuzinho
3f7rAySDxtiFD3d45xBsQP,Já Te Esqueci - Live,0,192170,false,12,track,2021-10-29,Natal Forró,22,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
0CMKh1jx1kR2yuGAb5V5C1,Não Teve Dó,0,221566,true,5,track,2021-11-03,Funk Para Dançar Até Cansar,19,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
6bDn10HCEfktPrnDlaajdt,Olha Como Está Minha Mesa - Live,0,154295,false,20,track,2021-11-05,Pisadinha no Natal,23,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
3K5RROWcJvfszaggtZZjpe,Já Te Esqueci - Live,0,192170,false,14,track,2021-11-05,Forró no Natal,24,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
5XUhwBlPQfdSV6hoTKXTQf,Século 21,0,167838,true,12,track,2021-11-04,Projeto Verão Funk,21,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
2SKq2R1GbZ0ZrC7se8Zjqk,Só Você,0,179933,false,23,track,2021-10-29,Natal Funk,23,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
3geRRy8idgMxYQl3HmScbF,Sentadinha,0,152800,false,2,track,2021-11-04,Projeto Verão Funk,21,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
5wwNWLApu71n6qJzqHhtgT,Não Teve Dó,0,221566,true,5,track,2021-11-04,Projeto Verão Funk,21,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
7wM6VhpLuNmslJmvF0X5w1,Sentadinha,0,152800,false,4,track,2021-11-02,Viral Funk As Mais Conhecidas,20,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
014gEHdCkC2h9JxRKxINIr,Já Te Esqueci - Live,0,192170,false,6,track,2021-11-03,Forró Pra Pensar no Crush,19,7KVJCU4z5L4EUHILL8aMxR,Leo Santana
